usage_date,region,provider,service,cost_usd,usage_hours,request_count
2026-07-02,ap-southeast-1,aws,object-storage,4.89,163.5,175094
2026-07-04,ap-southeast-1,azure,object-storage,4.96,169.8,432024
2026-07-04,eu-west-1,azure,database,44.18,136.6,41699
2026-07-04,us-east-1,ncp,kubernetes,173.33,713.9,96186
2026-07-05,ap-northeast-1,aws,database,26.44,76.9,615562
2026-07-06,ap-southeast-1,aws,compute,220.24,409.0,310321
2026-07-06,us-west-2,gcp,compute,131.59,232.5,252854
2026-07-06,us-west-2,gcp,kubernetes,110.46,516.6,885671
2026-07-07,ap-southeast-1,azure,compute,150.86,438.4,649897
2026-07-07,us-east-1,ncp,kubernetes,14.24,74.2,353964
2026-07-08,ap-northeast-1,ncp,database,120.13,278.0,504997
2026-07-08,ap-northeast-2,ncp,compute,103.48,212.7,249765
2026-07-08,ap-southeast-1,gcp,database,58.42,213.8,237010
2026-07-08,us-west-2,aws,database,13.33,32.5,209845
2026-07-09,us-west-2,gcp,database,199.97,540.9,32240
2026-07-10,eu-west-1,ncp,network,24.93,291.3,746633
2026-07-10,us-west-2,aws,network,17.3,161.3,476585
2026-07-11,ap-northeast-1,ncp,compute,12.46,35.7,144212
2026-07-11,ap-southeast-1,gcp,object-storage,14.25,534.1,287005
2026-07-12,us-east-1,gcp,database,54.1,149.4,307118
2026-07-12,us-west-2,ncp,kubernetes,65.57,415.3,626486
2026-07-13,eu-west-1,gcp,database,139.08,437.3,781156
2026-07-15,ap-southeast-1,azure,kubernetes,113.78,525.4,849595
2026-07-16,ap-northeast-1,aws,compute,8.65,15.9,578562
2026-07-16,eu-west-1,ncp,network,39.5,454.4,13738
2026-07-17,ap-northeast-1,aws,network,24.77,216.1,405558
2026-07-17,ap-northeast-1,azure,database,190.62,705.1,416702
2026-07-17,ap-northeast-1,gcp,compute,235.35,632.8,359240
2026-07-17,ap-northeast-1,gcp,kubernetes,78.76,361.0,338487
2026-07-18,ap-northeast-2,aws,network,7.93,72.3,894739
2026-07-19,ap-northeast-1,gcp,object-storage,9.69,524.6,669522
2026-07-19,ap-southeast-1,azure,compute,239.99,442.7,305202
2026-07-19,us-west-2,aws,database,107.73,388.6,636051
2026-07-20,ap-northeast-2,azure,network,34.62,312.6,51151
2026-07-20,eu-west-1,ncp,object-storage,10.39,334.5,308309
2026-07-21,ap-southeast-1,aws,network,8.1,105.0,62705
2026-07-23,ap-northeast-2,aws,compute,242.9,576.5,363451
2026-07-23,ap-northeast-2,ncp,network,56.61,597.1,213656
2026-07-23,ap-southeast-1,azure,object-storage,3.57,136.9,394322
2026-07-23,ap-southeast-1,gcp,compute,129.26,319.3,184678
2026-07-23,us-west-2,aws,object-storage,0.93,41.2,109335
2026-07-24,eu-west-1,aws,object-storage,5.16,264.5,174451
2026-07-24,us-east-1,azure,kubernetes,131.65,585.5,471025
2026-07-24,us-east-1,gcp,object-storage,0.31,13.0,621470
2026-07-24,us-west-2,ncp,object-storage,6.67,243.5,728256
2026-07-25,us-east-1,gcp,network,48.93,419.2,448848
2026-07-25,us-east-1,gcp,object-storage,13.85,436.8,586177
2026-07-26,eu-west-1,azure,network,28.15,273.5,128484
2026-07-27,ap-northeast-2,gcp,database,42.08,119.8,73987
2026-07-28,ap-southeast-1,aws,database,301.0,710.7,402237
2026-07-28,ap-southeast-1,azure,kubernetes,31.37,130.6,566347
2026-07-28,ap-southeast-1,azure,network,23.83,266.5,290925
