usage_date,region,provider,service,cost_usd,usage_hours,request_count
2026-08-01,us-east-1,aws,kubernetes,22.61,114.9,549337
2026-08-01,us-west-2,gcp,object-storage,8.06,429.1,730758
2026-08-02,ap-northeast-2,ncp,network,42.36,502.5,113779
2026-08-03,ap-northeast-2,azure,object-storage,21.04,676.4,15742
2026-08-03,us-east-1,azure,compute,118.49,312.7,463896
2026-08-05,ap-northeast-1,aws,database,219.79,546.2,402594
2026-08-05,us-east-1,gcp,database,184.89,495.4,520335
2026-08-05,us-west-2,ncp,object-storage,0.3,13.6,539152
2026-08-06,ap-northeast-1,aws,compute,338.81,730.1,281337
2026-08-06,ap-northeast-2,gcp,compute,130.6,237.4,812829
2026-08-06,us-east-1,ncp,compute,60.18,139.4,389025
2026-08-07,ap-northeast-1,aws,compute,376.5,666.5,705413
2026-08-11,ap-northeast-1,azure,compute,67.08,144.4,179640
2026-08-11,ap-northeast-1,azure,compute,178.33,427.9,499761
2026-08-11,ap-northeast-2,aws,network,15.03,198.9,124666
2026-08-11,us-west-2,ncp,compute,181.47,456.8,407402
2026-08-12,ap-northeast-2,aws,object-storage,3.2,149.9,843660
2026-08-12,us-east-1,aws,network,34.14,329.1,730815
2026-08-13,ap-southeast-1,azure,compute,26.53,50.2,418651
2026-08-15,eu-west-1,gcp,compute,342.44,676.3,647803
2026-08-15,eu-west-1,ncp,object-storage,1.79,81.1,329083
2026-08-16,ap-southeast-1,ncp,compute,67.39,178.0,294849
2026-08-16,us-east-1,aws,kubernetes,82.42,360.9,376697
2026-08-17,ap-northeast-2,gcp,network,42.59,354.1,720580
2026-08-17,ap-southeast-1,aws,object-storage,6.06,243.1,271997
2026-08-17,ap-southeast-1,azure,compute,263.98,593.0,497233
2026-08-17,eu-west-1,gcp,database,38.18,146.4,736793
2026-08-17,us-east-1,gcp,database,51.63,182.4,221202
2026-08-18,ap-northeast-2,ncp,object-storage,5.68,242.2,199923
2026-08-19,eu-west-1,ncp,object-storage,1.13,59.8,612704
2026-08-20,ap-northeast-1,aws,database,63.96,160.0,735476
2026-08-20,eu-west-1,gcp,compute,117.85,218.7,600777
2026-08-20,eu-west-1,gcp,database,35.8,109.8,600048
2026-08-22,ap-northeast-1,gcp,object-storage,14.55,516.9,408350
2026-08-22,eu-west-1,azure,database,103.4,289.3,696488
2026-08-22,us-east-1,gcp,kubernetes,131.18,637.3,887750
2026-08-22,us-west-2,ncp,kubernetes,129.89,588.6,316865
2026-08-23,ap-southeast-1,azure,network,3.78,41.8,794523
2026-08-24,ap-northeast-2,aws,database,54.4,181.7,310927
2026-08-25,ap-northeast-1,azure,kubernetes,97.42,489.9,372473
2026-08-26,ap-northeast-1,azure,kubernetes,85.87,513.8,335603
2026-08-26,eu-west-1,ncp,network,25.43,317.5,502755
2026-08-26,us-east-1,ncp,compute,294.26,547.4,380456
2026-08-26,us-west-2,aws,compute,239.72,570.8,667939
2026-08-27,ap-northeast-1,ncp,network,34.53,355.4,83758
2026-08-28,ap-northeast-1,azure,network,42.89,523.9,778092
2026-08-28,ap-northeast-2,azure,compute,121.26,295.4,120703
2026-08-28,ap-southeast-1,azure,kubernetes,114.12,616.3,531584
